date,execute_date,mode,gap,target,amount_planned,amount_actual
2020-01-23,2020-02-03,BUY,550.6914476348466,100666.66666666666,550.6914476348466,550.6914476348466
2020-02-28,2020-03-02,BUY,1291.4215197347075,101337.77777777777,1291.4215197347075,1291.4215197347075
2020-03-31,2020-04-01,BUY,2127.924059235229,102013.36296296294,2127.924059235229,2127.924059235229
2020-04-30,2020-05-06,BUY,2532.3446422152483,102693.4520493827,2532.3446422152483,2532.3446422152483
2020-05-29,2020-06-01,BUY,3115.105059830894,103378.07506304524,3115.105059830894,3115.105059830894
2020-06-30,2020-07-01,BUY,2588.151690314233,104067.26223013218,2588.151690314233,2588.151690314233
2020-07-31,2020-08-03,BUY,1135.620960817323,104761.04397833305,1135.620960817323,1135.620960817323
2020-08-31,2020-09-01,BUY,1692.2363069644925,105459.4509381886,1692.2363069644925,1692.2363069644925
2020-09-30,2020-10-09,BUY,3493.8996710948413,106162.5139444432,3493.8996710948413,3493.8996710948413
2020-10-30,2020-11-02,BUY,4081.5803707252344,106870.26403740613,4081.5803707252344,4081.5803707252344
2020-11-30,2020-12-01,BUY,4519.709956869643,107582.73246432217,4519.709956869643,4519.709956869643
2020-12-31,2021-01-04,BUY,3415.617115955538,108299.95068075098,3415.617115955538,3415.617115955538
2021-01-29,2021-02-01,BUY,3641.196433469333,109021.95035195598,3641.196433469333,3641.196433469333
2021-02-26,2021-03-01,BUY,5666.72682661975,109748.76335430235,5666.72682661975,5666.72682661975
2021-03-31,2021-04-01,BUY,8200.564925504295,110480.42177666436,8200.564925504295,8200.564925504295
2021-04-30,2021-05-06,BUY,6194.38505081863,111216.95792184211,6194.38505081863,6194.38505081863
2021-05-31,2021-06-01,BUY,3158.9811057468614,111958.40430798772,3158.9811057468614,3158.9811057468614
2021-06-30,2021-07-01,BUY,2465.0207932673366,112704.79367004096,2465.0207932673366,2465.0207932673366
2021-07-30,2021-08-02,BUY,6378.008540275958,113456.15896117456,6378.008540275958,6378.008540275958
2021-08-31,2021-09-01,BUY,6962.194427265975,114212.53335424906,6962.194427265975,6962.194427265975
2021-09-30,2021-10-08,BUY,6839.035012532186,114973.95024327737,6839.035012532186,6839.035012532186
